Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Alias DG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Aliette,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Aliette easy,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Alisystem,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Alleato 80 WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Alsystin,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr
Amectin EC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Amid Thin W,30,,,30,,30,,
Amylo-X,"2,5 kg",,"2,5 kg",,"2,5 kg",,,
Aphox,7,,7,7,7,7,,
Aramis Plus,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Armicarb 85,1,,1,,1,1,,
Arpel WDG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Arpel WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Aspor WDG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Asset,2,,,2,2,2,,
Asset Five,1,,1,1,1,1,,
ASU70480I,10 l,,10 l,10 l,10 l,,,
Atominal Echo,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Atominal Gold,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Avaunt EC,Nur bis 60 Tage vor Erntebeginn,,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn
Avenger,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Azactiva,3,,3,,3,3,,
Babel,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Bagnante Cifo,1 l,,,1 l,1 l,,,
Bagnante Sariaf,"1,5 l",,,"1,5 l","1,5 l",,,
Banjo,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr
Barbarian Biograde 360,9 l/Jahr,,,,9 l/Jahr,,,
Barclay Gallup Biograde 360,9 l/Jahr,,,,9 l/Jahr,,,
Barocco 80 WG,5,,,5,,5,,
BBS 20 WG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Bellis,"max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr",,"max. 4 Behandlungen mit Carboxamiden pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr"
Belpromec,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Belthirul,3,,3,3,3,3,,
Berlina,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Bermectine,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Biobit DF,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Biolarv,3,,3,3,3,3,,
Biolid E.,20,,20,20,20,20,,
Biolid up,20,,20,20,20,20,,
Bion 50 WG,7,,7,7,7,7,,
Biopiren plus,2,,,2,,2,,
Blossom Protect,"1,5 kg",,,,"1,5 kg",,,
Bogard,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Bordo 20 Micro,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Bordo 20 Micro IQV,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Bordo Isagro WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Bordoflow New,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Bordoflow Sector,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Borneo,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Braitex Pro,100 ml,,,100 ml,,,,
Brancher-Dirado,100 ml,,,100 ml,,,,
Brevis,60,,60,,60,60,,
Brezza,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Buggy TF,7,,,,7,7,,
Cabrio EC,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,,max. 3 Behandlungen mit Strobilurinen pro Jahr
Cal-Ex 1.9 EC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Cal-Ex 1.9 EW,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Calypso,14,,14,14,14,14,,
Cantus,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,,max. 4 Behandlungen mit Carboxamiden pro Jahr
Capex 100,3,,3,,3,3,,
Captain 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Captan Arvesta 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Captano Arysta 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Capthene 80 WDG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Carpostop,3,,3,3,3,3,,
Carpovir,3,,3,3,3,3,,
Carpovirusine Evo 2,3,,3,3,3,3,,
Carpovirusine Plus,1,,,1,1,1,,
Century Pro,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Champ 20 WG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
CheckMate CM-F,"0,18 l",,,,"0,18 l",,,
CheckMate CM-XL,300 St.,,,,300 St.,,,
CheckMate OFM,350 St.,,,,350 St.,,,
CheckMate Puffer CM,3 St.,,,,3 St.,,,
CheckMate Puffer OFM,3 St.,,,,3 St.,,,
Chemol,20,,,20,,20,,
Chorus,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Cidely,14,,14,14,14,14,,
Cidetrak CM,500 St.,,,,500 St.,,,
Cidetrak OFM,425 St.,,,,425 St.,,,
Ciopper,20 l,,20 l,20 l,20 l,,,
Citrole,1,,,1,1,1,,
Clean-Up,7,,,,7,7,,
Cleanclaster,"1,5 l",,,"1,5 l","1,5 l",,,
Clinic ST,9 l/Jahr,,,,9 l/Jahr,,,
Closer,max. 1 Behandlung mit Chloronicotinylen pro Jahr,max. 1 Behandlung mit Chloronicotinylen pro Jahr,max. 1 Behandlung mit Chloronicotinylen pro Jahr,,max. 1 Behandlung mit Chloronicotinylen pro Jahr,max. 1 Behandlung mit Chloronicotinylen pro Jahr,max. 1 Behandlung mit Chloronicotinylen pro Jahr,max. 1 Behandlung mit Chloronicotinylen pro Jahr
Cobre Nordox Super 75 WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
